image_name,question,answer
000000001624.jpg,biển ghi gì ?,ghi đường hồ chí minh
000000004169.jpg,có bao nhiêu người đàn ông ?,có hai người đàn ông
000000007738.jpg,người đàn ông mang theo chiếc máy ảnh đang đứng ở đâu ?,người đàn ông mang theo chiếc máy ảnh đang đứng bên trái người phụ nữ áo đỏ
000000002073.jpg,công ty good time có địa chỉ là gì ?,"30a mai thị lựu , f . đa kao , q . 1 , tp hcm"
000000002175.jpg,tiệm vân anh có những dịch nào về móng ?,"tiệm vân anh có làm móng , vẽ móng"
000000003252.jpg,hãy làm gì với thùng ?,bỏ rác vào thùng
000000004789.jpg,có bao nhiêu ngời đang mặc áo dài ?,có ba người đang mặc áo dài
000000005182.jpg,có mấy người mặc áo dài màu vàng ?,có hai người mặc áo dài màu vàng
000000009718.jpg,người phụ nữ cầm bịch bánh màu tím mặc áo màu gì ?,mặc áo màu đen
000000008299.jpg,có bao nhiêu người đang đứng ?,có tám người
000000006318.jpg,những người này mặc áo màu gì ?,họ mặc áo màu tím và đỏ
000000007439.jpg,có bao nhiêu chiếc xe hơi phía sau chiếc xe bán tải ?,có một chiếc xe hơi phía sau chiếc xe bán tải
000000009687.jpg,cửa hàng chí sang nằm ở số nhà bao nhiêu ?,61b
000000008315.jpg,những bức tranh được treo ở đâu ?,được treo trong một viện bảo tàng
000000005389.jpg,những người trên chiếc thuyền gần nhất đang làm gì ?,họ đang chèo thuyền
000000002672.jpg,muốn tới khu bán vé đi lối nào ?,muốn tới khu bán vé đi lối bên phải
000000006980.jpg,người đàn ông cầm mái chèo để làm gì ?,chèo thuyền
000000005840.jpg,cô gái đang tạo dáng đang đeo túi xách ở phía vai nào ?,cô gái đang tạo dáng đang đeo túi xách ở phía vai phải
000000005653.jpg,những ngôi nhà được xây ở đâu ?,những ngôi nhà được xây trên mặt nước
000000006861.jpg,những cô gái mang áo màu gì ?,những cô gái mang áo màu trắng
000000004247.jpg,trang phục công an có màu gì ?,trang phục công an có màu xanh lá
000000008201.jpg,cặp đôi này lựa vị trí nào để ngồi với nhau ?,họ ngồi bên lề đường trước cửa quán cafe
000000007356.jpg,cô gái này đang đứng ở đâu ?,ở bên cạnh một ngôi miếu thờ
000000008904.jpg,người phụ nữ ngồi trước chiếc xe tay ga màu đen đang soạn trái cây gì trong gánh hàng ?,cô ấy đưa tay soạn mấy trái thanh long trong gánh hàng
000000010669.jpg,màu sắc chủ đạo của bức ảnh là màu gì ?,màu xanh dương
000000007608.jpg,cô gái đang đứng ở đâu ?,cô gái đang đứng trong một con hẻm
000000011017.jpg,cửa hàng bán quần nằm ở số nhà bao nhiêu ?,53
000000004169.jpg,cửa hàng bán mặc hàng gì ?,cửa hàng bán đồ trang trí
000000008189.jpg,người phụ nữ bán khăn quàng cổ đang làm gì ?,đang thối tiền cho khách
000000004732.jpg,bàn chải đánh răng được trưng bày trên tầng nào của kệ hàng này ?,tầng trên cùng
000000011087.jpg,có bao nhiêu người đang đứng vỗ tay ?,có ba người đang đứng vỗ tay
000000002552.jpg,biển thông báo yêu cầu thứ gì ?,yêu cầu không đi lối này
000000007620.jpg,cậu thanh niên làm việc với thiết bị gì ?,với chiếc máy tính
000000005364.jpg,cổng chùa có bao nhiêu lối vào ?,cổng chùa có ba lối vào
000000008935.jpg,thứ gì được đặt trước cửa hàng ?,một chiếc xe đạp
000000007464.jpg,có bao nhiêu người đi thuyền trên sông ?,có hai người đi thuyền trên sông
000000007304.jpg,người đàn ông cao nhất mang cà vạt màu gì ?,màu xanh dương
000000000984.jpg,địa điểm này được dùng để làm gì ?,bán hoặc cho thuê
000000001824.jpg,có cái gì được treo ở cổng ?,cái lồng đèn
000000010532.jpg,chiếc xe phía trước tiệm có màu gì ?,chiếc xe có màu trắng
000000009425.jpg,người bán trứng đang làm gì ?,đang đưa trứng cho khách
000000009266.jpg,cô gái đang cầm thứ gì ở tay phải ?,cô gái đang cầm một chiếc điện thoại
000000006677.jpg,thời tiết như thế nào ?,thời thiết nhiều mây
000000004875.jpg,có bao nhiêu người đang dắt xe đạp ?,có một người đang dắt xe đạp
000000009135.jpg,cửa hàng the coffee shoes nằm ở số nhà bao nhiêu ?,số 10
000000001854.jpg,gian hàng này trưng bày những mặt hàng gì ?,"chuối dẻo , rượu , dấm"
000000001614.jpg,cửa hàng này ở tỉnh nào ?,ở tỉnh đà nẵng
000000004798.jpg,có bao nhiêu người đàn ông đang đứng ở trong cửa tiệm bán quần áo ?,có hai người đàn ông đang lựa quần áo trong cửa tiệm bán quần áo
000000008277.jpg,có bao nhiêu người ngồi trước cửa hàng bán lồng đèn ?,một người
000000002204.jpg,tiệm cà phê mở cửa khi nào ?,tiệm mở cửa vào 6 giờ 30 phút
000000002785.jpg,khu phố này được lắp thiết bị nào để hỗ trợ quan sát ?,khu phố được lắp camer
000000008812.jpg,khu di tích lịch sử rừng kiến an ở đâu ?,"ở xã an lập , huyện dầu tiếng , tỉnh bình dương"
000000002007.jpg,gian hàng này do khối lớp nào bày trí ?,khối 3
000000006231.jpg,người làm vườn đang cầm vật gì trên tay ?,người làm vườn đang cầm một chiếc ống nước
000000001449.jpg,có bao nhiêu người đang đứng ?,không có ai
000000009998.jpg,người đàn ông đang cầm micro bằng tay nào ?,đang cầm micro bằng tay trái
000000010119.jpg,địa chỉ của cửa hàng bán quần áo trẻ em là gì ?,địa chỉ của cửa hàng bán quần áo trẻ em là 14d hàng cá
000000009534.jpg,cửa hàng bán xe máy này có số nhà bao nhiêu ?,số 313
000000003203.jpg,biển hiệu ghi ngôi chợ này tên gì ?,chợ cồn
000000009442.jpg,siêu thị đang tổ chức chương trình gì ?,siêu thị đang tổ chức các chương trình ưu đãi
000000004111.jpg,chiếc du thuyền màu gì ?,chiếc du thuyền màu đen
000000001647.jpg,năm 2021 là năm gì ?,năm tân sửu
000000005610.jpg,người này đang cầm cái gì ?,người này đang cầm mái chèo
000000000713.jpg,cửa hàng có địa chỉ ở đâu ?,"288 trần phú , thành phố bảo lộc"
000000006296.jpg,hai bạn này đang ngồi ở đâu ?,ở trước một ngôi chùa
000000007642.jpg,đằng sau đám bạn trẻ này là vật gì đang lấp lánh ?,đằng sau đám bạn trẻ này là một cây thông noel
000000010384.jpg,ở siêu thị này đang có chương trình đặc biệt gì vào dịp cuối tuần ?,chương trình giá sốc cuối tuần
000000000613.jpg,sản phẩm bên trái giá bao nhiêu ?,63 nghìn đồng
000000007179.jpg,cô gái áo cam đang làm gì ?,cô gái áo cam đang sử dụng điện thoại di động
000000008786.jpg,bạn nữ mặc áo xanh dương với bạn nam mặc áo đen đang đi đâu ?,đi tham quan ở một khu mua sắm
000000007732.jpg,có bao nhiêu chiếc xe máy ?,có hai chiếc
000000008259.jpg,những loại rau củ quả được trưng bày ra sao ?,tất cả đều được bọc trong túi nilon
000000001947.jpg,có bao nhiêu chiếc xe hơi chạy trên đường ?,có năm chiếc
000000006666.jpg,người phụ nữ áo đỏ đang làm gì ?,đang hỏi về sản phẩm
000000008278.jpg,phía sau nhóm người là thứ gì ?,phía sau là một khu nhà cạnh bờ hồ
000000002844.jpg,viền tấm biển màu gì ?,màu đen
000000002384.jpg,mã số iso của yng hua là gì ?,là 9 001
000000010655.jpg,cô gái đang đeo chiếc túi xách phía bên nào ?,cô gái đeo chiếc túi xách phía bên phải
000000008775.jpg,hai người đang đứng làm gì ?,mua bán đào
000000007302.jpg,người đội mũ len đứng một chỗ đang làm chuyện gì ?,mua đồ
000000009995.jpg,những chiếc xe này đang chạy qua khu vực nào ?,khu vực chốt kiểm soát phòng chống dịch covid 19
000000010230.jpg,chiếc xe máy đậu ngoài quán có màu gì ?,chiếc xe máy đậu ngoài quán có màu kem
000000006668.jpg,người đang chạy xe đạp mặc áo màu gì ?,người đang chạy xe đạp mặc áo màu đen
000000004135.jpg,người đàn ông đeo khẩu trang xanh dương đang làm gì ?,ông ấy đang trình bày về sản vật cho các em học sinh
000000004677.jpg,trang phục mà nam nhân viên đứng giữa hai rổ bánh mì khi đi làm trông như thế nào ?,"trang phục gồm có áo thun vàng , quần tây đen và nón vàng"
000000004974.jpg,người phụ nữ mặc áo đỏ đang làm gì ?,đang chèo xuồng
000000003045.jpg,siêu thị này có dịch vụ giao hàng trong bao lâu ?,trong 1 giờ
000000002839.jpg,công ty thuộc loại gì ?,thuộc loại công ty trách nhiệm hưu hạn
000000010164.jpg,đây là ở đâu ?,đây là một quán ăn uống
000000004667.jpg,có bao nhiêu chiếc áo màu xám được trưng bày trong tủ ?,có một chiếc áo xám được trưng bày trong tủ
000000011075.jpg,tàu lửa có màu gì ?,"màu trắng , xanh dương , đỏ"
000000003006.jpg,tiệm này bán gì ?,tiệm này bán vợt tennis & cầu lông & golf
000000001097.jpg,ngày nam bộ kháng chiến là ngày nào ?,ngày nam bộ kháng chiến là ngày 23 / 9 / 1945
000000006561.jpg,khu vực này vừa xảy ra điều gì ?,khu vực này vừa xảy ra một vụ tai nạn do xe khách gây ra
000000006036.jpg,những người này đang làm gì ?,những người này đang ăn uống trong một quán ăn
000000005277.jpg,có bao nhiêu cô gái đang dùng bữa ?,hai người
000000006306.jpg,cô gái này đeo khẩu trang màu gì ?,màu xanh dương
000000009188.jpg,khu phố được đặt tên là gì ?,khu phố được đặt tên là phố ẩm thực
000000002717.jpg,có bao nhiêu người đang đi bộ ?,có một người
000000002926.jpg,tấm biển quảng cáo thuộc thương hiệu nào ?,mekong city
000000008139.jpg,có những thứ gì đang di chuyển thành hàng trên đường phố ?,những chiếc xe xích lô
000000008985.jpg,có bao nhiêu chiếc tàu trên biển ?,có một chiếc tàu trên biển
000000005913.jpg,bạn nữ này đang đứng ở đâu ?,ở trên ban công của một căn nhà
000000007332.jpg,trong rổ đựng cái gì ?,trứng gà
000000004269.jpg,bên trái người đàn bà ngồi ghế bố là những cái gì ?,bên trái người đàn bà ngồi ghế bố là hai cái ghế nhựa màu xanh dương
000000002136.jpg,số điện thoại của cửa hàng mitsubishi tây ninh là gì ?,0914706706
000000010763.jpg,quán ăn chú chen bán những món ăn nào ?,"quán ăn có bán cháo , dimsum , lẩu"
000000005626.jpg,chị gái đeo kính râm mặc váy màu gì ?,màu đỏ
000000005072.jpg,người đàn ông đang làm gì ?,đang thanh toán
000000006673.jpg,người đàn ông đang làm gì ?,đang lau chùi tủ
000000007543.jpg,có bao nhiêu người đang nhảy dù ?,có hai người đang nhảy dù
000000008593.jpg,có bao nhiêu lá cờ đang được treo trên cao ?,hai lá
000000001748.jpg,một linh chín là gì ?,là số một trăm linh chín
000000002590.jpg,vinpro+ là thành viên của tập đoàn nào ?,tập đoàn vingroup
000000001595.jpg,có mấy người trước quầy thu viện phí ?,có ba người
000000001810.jpg,cà phê ở đây được làm ra bằng cách nào ?,bằng cách rang xay
000000003123.jpg,bông hoa trên bàn màu gì ?,màu hồng
000000001813.jpg,tiệm sửa xe này nhận sửa gì ?,"sửa honda , tay ga các loại"
000000007906.jpg,bên tay phải cô gái có cái gì ?,có túi xách
000000001559.jpg,số nhà của của hàng được viết bằng màu gì ?,được viết bằng màu trắng
000000007449.jpg,có bao nhiêu cậu bé ?,có bốn
000000009713.jpg,có bao nhiêu người đi chợ bằng xe đạp ?,có một người phụ nữ đi chợ bằng xe đạp
000000008489.jpg,bạn nữ và bạn nam đang đứng ở đâu ?,cạnh một cái cây bên một bờ hồ
000000003242.jpg,chè tổ yến có giá bao nhiêu ?,260 000
000000001077.jpg,đây là ở đâu ?,trung tâm chợ dinh
000000011152.jpg,đây là quán gì ?,quán cơm gà
000000002061.jpg,biển thông báo xe gì được phép lưu thông ?,xe khách
000000002389.jpg,đây là địa phận gì ?,địa phận quận thanh xuân
000000001206.jpg,căn nhà nằm trên đường nào ?,căn nhà nằm trên đường thạnh xuân 21
000000001679.jpg,trên đó ghi bao nhiêu phần trăm ?,30 phần trăm
000000006451.jpg,những chậu cây được đặt ở chỗ nào ?,những chậu cây được đặt dọc theo bờ bên trái của con kênh
000000008098.jpg,người đàn ông này đang cầm vật gì ở trên tay ?,người đàn ông này đang cầm một khay đựng vé số
000000004636.jpg,người đàn ông đang làm gì ?,đang vẽ tranh
000000002854.jpg,quán bún thịt nướng nằm ở số nhà bao nhiêu ?,428
000000010322.jpg,những chiếc đèn lồng có màu gì ?,những chiếc đèn lồng có màu đỏ
000000004859.jpg,người phụ nữ mặc áo vàng định mua gì ?,định mua một số loại củ
